scenario,attachment_size_kb,repeat,scenario_turn,turn_index,session_id,enriched_transcript_chars,attachments_total_chars,messages_in_window,anchors_count,summary_chars,tokens_in,tokens_out,cost_usd,latency_ms,cache_hit_kind,last_resolved_tier,cumulative_cost_usd,latency_budget_pass,cost_budget_pass,memory_drift_fact,memory_drift_pass,http_status
growing,0,2,1,1,470fdbc8-195f-4de6-b54e-129d06f24cad,210,0,2,0,0,17603,1154,0.003333,15229,none,default,0.003333,False,True,Project Nimbus,True,200
growing,0,2,2,2,470fdbc8-195f-4de6-b54e-129d06f24cad,160,0,4,0,0,6251,604,0.0013,7376,none,default,0.004633,True,True,Project Nimbus,True,200
growing,0,2,3,3,470fdbc8-195f-4de6-b54e-129d06f24cad,184,0,6,0,0,7066,636,0.001441,7163,none,default,0.006074,True,True,Project Nimbus,True,200
growing,0,2,4,,470fdbc8-195f-4de6-b54e-129d06f24cad,,,,,,,,,,,,,,,,,502
growing,0,2,5,4,470fdbc8-195f-4de6-b54e-129d06f24cad,159,0,8,0,0,7889,654,0.001576,8886,none,default,0.00765,False,True,Project Nimbus,True,200
growing,0,2,6,5,470fdbc8-195f-4de6-b54e-129d06f24cad,170,0,10,0,0,8750,686,0.001724,8627,none,default,0.009374,False,True,Project Nimbus,True,200
growing,0,2,7,6,470fdbc8-195f-4de6-b54e-129d06f24cad,172,0,12,0,0,4216,353,0.000844,4339,none,default,0.010218,True,True,Project Nimbus,True,200
growing,0,2,8,7,470fdbc8-195f-4de6-b54e-129d06f24cad,168,0,12,0,670,4653,365,0.000917,5538,none,default,0.011135,True,True,Project Nimbus,True,200
growing,0,2,9,,470fdbc8-195f-4de6-b54e-129d06f24cad,,,,,,,,,,,,,,,,,502
growing,0,1,1,1,303215c7-941e-4468-b97e-f78f5c441e79,210,0,2,0,0,5415,568,0.001153,9808,none,default,0.001153,False,True,Project Nimbus,True,200
growing,0,1,2,2,303215c7-941e-4468-b97e-f78f5c441e79,160,0,4,0,0,6227,574,0.001278,6490,none,default,0.002431,True,True,Project Nimbus,True,200
growing,0,1,3,3,303215c7-941e-4468-b97e-f78f5c441e79,184,0,6,0,0,7019,620,0.001425,6527,none,default,0.003856,True,True,Project Nimbus,True,200
growing,0,1,4,,303215c7-941e-4468-b97e-f78f5c441e79,,,,,,,,,,,,,,,,,502
growing,0,1,5,4,303215c7-941e-4468-b97e-f78f5c441e79,159,0,8,0,0,3347,311,0.000689,4065,none,default,0.004545,True,True,Project Nimbus,True,200
growing,0,1,6,5,303215c7-941e-4468-b97e-f78f5c441e79,170,0,10,0,0,3739,337,0.000763,3723,none,default,0.005308,True,True,Project Nimbus,True,200
growing,0,1,7,6,303215c7-941e-4468-b97e-f78f5c441e79,172,0,12,0,0,4156,318,0.000814,3862,none,default,0.006122,True,True,Project Nimbus,True,200
growing,0,1,8,7,303215c7-941e-4468-b97e-f78f5c441e79,168,0,12,0,605,10235,648,0.001924,8155,none,default,0.008046,False,True,Project Nimbus,True,200
growing,0,1,9,8,303215c7-941e-4468-b97e-f78f5c441e79,153,0,12,0,703,10620,642,0.001978,7902,none,default,0.010024,True,True,Project Nimbus,True,200
growing,0,3,1,,15dc84f5-f6a8-4a86-985f-c0ee0ee75dfa,,,,,,,,,,,,,,,,,502
growing,0,3,2,1,15dc84f5-f6a8-4a86-985f-c0ee0ee75dfa,160,0,2,0,0,5380,566,0.001147,7194,none,default,0.001147,True,True,,True,200
growing,0,3,3,2,15dc84f5-f6a8-4a86-985f-c0ee0ee75dfa,184,0,4,0,0,6194,588,0.001282,8079,none,default,0.002429,False,True,,True,200
growing,0,3,4,3,15dc84f5-f6a8-4a86-985f-c0ee0ee75dfa,175,0,6,0,0,6928,560,0.001375,7076,none,default,0.003804,True,True,,True,200
growing,0,3,5,4,15dc84f5-f6a8-4a86-985f-c0ee0ee75dfa,159,0,8,0,0,7638,536,0.001467,7160,none,default,0.005271,True,True,,True,200
growing,0,3,6,,15dc84f5-f6a8-4a86-985f-c0ee0ee75dfa,,,,,,,,,,,,,,,,,502
growing,0,3,7,5,15dc84f5-f6a8-4a86-985f-c0ee0ee75dfa,172,0,10,0,0,3689,253,0.000705,4701,none,default,0.005976,True,True,,True,200
growing,0,3,8,6,15dc84f5-f6a8-4a86-985f-c0ee0ee75dfa,168,0,12,0,0,9133,570,0.001712,9228,none,default,0.007688,False,True,,True,200
growing,0,3,9,7,15dc84f5-f6a8-4a86-985f-c0ee0ee75dfa,153,0,12,0,561,4442,287,0.000839,4614,none,default,0.008527,True,True,,True,200
pivot,0,1,1,1,a362315c-b225-447e-a89d-75f7f790adc6,210,0,2,0,0,41706,1758,0.007311,27005,none,default,0.007311,False,True,Project Nimbus,True,200
pivot,0,1,2,2,a362315c-b225-447e-a89d-75f7f790adc6,160,0,4,0,0,6286,614,0.001311,8799,none,default,0.008622,False,True,Project Nimbus,True,200
pivot,0,1,3,,a362315c-b225-447e-a89d-75f7f790adc6,,,,,,,,,,,,,,,,,502
pivot,0,1,4,3,a362315c-b225-447e-a89d-75f7f790adc6,175,0,6,0,0,7122,674,0.001473,15630,none,default,0.010095,False,True,Project Nimbus,True,200
pivot,0,1,5,4,a362315c-b225-447e-a89d-75f7f790adc6,231,0,8,0,0,8005,692,0.001616,9002,none,default,0.011711,False,True,Flutter,True,200
